feature,special_case_type,feature_category,source_group,missing_pct_train,missing_pct_test,missing_interpretation,recommended_next_action,validation_stage,drop_now
AMT_REQ_CREDIT_BUREAU_HOUR,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,13.501630835970097,12.409732479894961,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
AMT_REQ_CREDIT_BUREAU_DAY,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,13.501630835970097,12.409732479894961,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
AMT_REQ_CREDIT_BUREAU_WEEK,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,13.501630835970097,12.409732479894961,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
AMT_REQ_CREDIT_BUREAU_MON,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,13.501630835970097,12.409732479894961,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
AMT_REQ_CREDIT_BUREAU_QRT,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,13.501630835970097,12.409732479894961,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
AMT_REQ_CREDIT_BUREAU_YEAR,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,13.501630835970097,12.409732479894961,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
has_bureau_history,structured_missing_or_history_availability,binary_flag,bureau_history,0.0,0.0,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
bureau_record_count,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,14.314935075493235,13.179057935335631,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
bureau_unique_credit_type_count,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,14.314935075493235,13.179057935335631,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
bureau_unique_currency_count,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,14.314935075493235,13.179057935335631,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
bureau_active_count,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,14.314935075493235,13.179057935335631,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
bureau_active_ratio,structured_missing_or_history_availability,ratio_rate_numeric,bureau_history,14.314935075493235,13.179057935335631,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
bureau_closed_count,structured_missing_or_history_availability,discrete_count_numeric,bureau_history,14.314935075493235,13.179057935335631,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
